,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
63,2023-08-01,5980211,702396076,120.0,120.5,115.0,117.5,-3.0,4389
64,2023-08-02,4421103,519582308,118.0,119.0,116.5,118.0,0.5,2957
65,2023-08-04,3318120,389907035,118.0,118.5,116.5,118.0,0.0,2266
66,2023-08-07,3775208,446643197,119.0,121.0,117.0,118.5,0.5,2781
67,2023-08-08,4299832,513813462,118.5,121.0,117.5,120.5,2.0,2731
68,2023-08-09,3840127,453166119,119.5,119.5,117.0,119.0,-1.5,2714
69,2023-08-10,2835527,333747466,119.0,119.0,117.0,118.0,-1.0,1754
70,2023-08-11,2889404,341860890,118.5,119.5,117.0,119.5,1.5,1787
71,2023-08-14,4327381,503697097,119.5,119.5,115.0,116.5,-3.0,2974
72,2023-08-15,2025100,236510445,117.5,118.0,115.5,116.5,0.0,1611
73,2023-08-16,2464191,287039627,116.5,117.5,115.0,117.0,0.5,1671
74,2023-08-17,2904889,341724935,117.5,119.0,116.5,118.5,1.5,1825
75,2023-08-18,2520983,295176488,118.0,118.0,116.5,117.0,-1.5,1482
76,2023-08-21,4787576,544343567,116.5,116.5,112.0,114.0,-3.0,3559
77,2023-08-22,2585934,295837618,115.0,116.0,113.5,114.5,0.5,1995
78,2023-08-23,1490019,172319503,115.0,116.5,114.5,116.0,1.5,1409
79,2023-08-24,2021946,233155195,116.5,117.0,114.5,115.5,-0.5,1451
80,2023-08-25,1740364,202989513,115.0,117.5,114.5,117.0,1.5,1414
81,2023-08-28,1327405,155597334,117.0,118.0,116.5,117.0,0.0,1240
82,2023-08-29,2111484,248937682,118.0,119.0,116.0,119.0,2.0,1770
83,2023-08-30,1525656,180763165,119.0,119.5,118.0,118.5,-0.5,1249
84,2023-08-31,1725152,205349485,118.5,119.5,118.0,119.5,1.0,1285
85,2023-09-01,1286561,153476680,119.5,120.0,118.5,119.5,0.0,1102
86,2023-09-04,3372088,408258513,119.5,122.0,119.0,122.0,2.5,2834
87,2023-09-05,3105373,381043254,122.0,123.5,121.0,123.5,1.5,2688
88,2023-09-06,6966641,876747692,124.0,128.0,123.5,127.0,3.5,5014
89,2023-09-07,3125137,395942006,126.0,128.0,125.5,127.0,0.0,2740
90,2023-09-08,2708923,341465308,126.5,127.0,124.5,126.0,-1.0,2192
